2018-09-18T12:37:48,010; INFO; refs.ReferenceCache; 193c2871-7e8c-486d-b197-0e7c4f890102; [ACTIVE] ExecuteThread: '32' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,014; INFO; refs.ReferenceCache; 193c2871-7e8c-486d-b197-0e7c4f890102; [ACTIVE] ExecuteThread: '32' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,023; INFO; refs.ReferenceCache; 193c2871-7e8c-486d-b197-0e7c4f890102; [ACTIVE] ExecuteThread: '32' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,028; INFO; refs.ReferenceCache; 193c2871-7e8c-486d-b197-0e7c4f890102; [ACTIVE] ExecuteThread: '32' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,034; INFO; refs.ReferenceCache; 193c2871-7e8c-486d-b197-0e7c4f890102; [ACTIVE] ExecuteThread: '32' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,041; INFO; refs.ReferenceCache; 193c2871-7e8c-486d-b197-0e7c4f890102; [ACTIVE] ExecuteThread: '32' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,054; INFO; refs.ReferenceCache; 193c2871-7e8c-486d-b197-0e7c4f890102; [ACTIVE] ExecuteThread: '32' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,315; INFO; refs.ReferenceCache; 94e9f20a-f494-462d-8d40-432420a0aa39; [ACTIVE] ExecuteThread: '61' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,347; INFO; refs.ReferenceCache; 94e9f20a-f494-462d-8d40-432420a0aa39; [ACTIVE] ExecuteThread: '61' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,356; INFO; refs.ReferenceCache; 94e9f20a-f494-462d-8d40-432420a0aa39; [ACTIVE] ExecuteThread: '61' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,365; INFO; refs.ReferenceCache; 94e9f20a-f494-462d-8d40-432420a0aa39; [ACTIVE] ExecuteThread: '61' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,375; INFO; refs.ReferenceCache; 94e9f20a-f494-462d-8d40-432420a0aa39; [ACTIVE] ExecuteThread: '61' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:48,385; INFO; refs.ReferenceCache; 94e9f20a-f494-462d-8d40-432420a0aa39; [ACTIVE] ExecuteThread: '61' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:49,706; ERROR; journalerreur.ServiceJournalErreurJdbc; e18ce7e1-ad3f-4e54-92ef-52aa78462db2; [ACTIVE] ExecuteThread: '22' for queue: 'weblogic.kernel.Default (self-tuning)'; Erreur applicative 52546706: Erreur IO lors du téléchargement de /contenu/sitescours/036/03615/201809/site98922/modules582049/module758855/page2067160/bloccontenu1882122/ressourcesdescription/supplementLinux.pdf.
2018-09-18T12:37:50,137; INFO; refs.ReferenceCache; 014889ca-0ea8-44cf-b7dc-66bf5730d934; [ACTIVE] ExecuteThread: '58' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de  est maintenant de: IndicateurReussiteImpl{type=VERT, raisonAucun=null}
2018-09-18T12:37:50,151; INFO; refs.ReferenceCache; 014889ca-0ea8-44cf-b7dc-66bf5730d934; [ACTIVE] ExecuteThread: '58' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
2018-09-18T12:37:50,160; INFO; refs.ReferenceCache; 014889ca-0ea8-44cf-b7dc-66bf5730d934; [ACTIVE] ExecuteThread: '58' for queue: 'weblogic.kernel.Default (self-tuning)'; La valeur de null est maintenant de: []
